period,year,month,EW_total_individuals_SA,EW_bankruptcy_SA,EW_DRO_SA,EW_IVA_SA,EW_total_individuals_NSA,EW_bankruptcy_NSA,EW_DRO_NSA,EW_IVA_NSA,EW_IVA_approved_SA,EW_IVA_approved_NSA,EW_IVA_approved_rate_per_10000,EW_individual_rate_per_10000,EW_bankruptcy_rate_per_10000,EW_DRO_rate_per_10000,EW_IVA_rate_per_10000,EW_creditor_bankrupt_SA,EW_debtor_bankrupt_SA,EW_creditor_bankrupt_NSA,EW_debtor_bankrupt_NSA,EW_self_employed_bankrupt_SA,EW_other_bankrupt_SA,EW_self_employed_bankrupt_NSA,EW_other_bankrupt_NSA,EW_unknown_bankrupt_NSA,EW_total_IPO_IPA_NSA,EW_IPO_NSA,EW_IPA_NSA,EW_total_breathing_space_NSA,EW_standard_breathing_space_NSA,EW_mental_health_breathing_space_NSA
2017-01,2017,1,8053,1347,1987,4719,7636,1393,1730,4513,4777,3811,11.1,19.9,3.3,5.7,11,308,1039,362,1031,314,1024,348,1022,23,262,3,259,[z],[z],[z]
2017-02,2017,2,8848,1210,1956,5682,7370,1223,1929,4218,4720,4624,11.3,20.1,3.3,5.6,11.2,279,931,254,969,286,906,281,920,22,218,2,216,[z],[z],[z]
2017-03,2017,3,7628,1221,2074,4333,9224,1467,2460,5297,4726,5187,11.6,20.5,3.3,5.5,11.6,267,954,287,1180,290,923,348,1098,21,182,0,182,[z],[z],[z]
2017-04,2017,4,7219,1249,1855,4115,6652,1160,1687,3805,4835,4741,11.7,20.3,3.3,5.4,11.5,270,979,260,900,320,904,305,842,13,157,3,154,[z],[z],[z]
2017-05,2017,5,7534,1232,2086,4216,7749,1287,2242,4220,4752,4859,11.9,20.4,3.3,5.4,11.6,296,936,324,963,319,903,326,937,24,215,0,215,[z],[z],[z]
2017-06,2017,6,7712,1248,2160,4304,7956,1275,2217,4464,4995,5187,12.1,20.4,3.3,5.4,11.7,247,1001,247,1028,275,961,274,972,29,264,4,260,[z],[z],[z]
2017-07,2017,7,9136,1288,2032,5816,9769,1268,2068,6433,5282,5343,12.2,20.7,3.3,5.4,12,263,1025,267,1001,272,959,269,976,23,273,6,267,[z],[z],[z]
2017-08,2017,8,8811,1214,2242,5355,8785,1234,2235,5316,5109,5467,12.4,20.9,3.3,5.4,12.2,264,950,272,962,287,903,293,923,18,295,2,293,[z],[z],[z]
2017-09,2017,9,8592,1260,2073,5259,9242,1236,1971,6035,5308,5165,12.5,20.9,3.3,5.4,12.3,282,978,277,959,316,938,289,932,15,287,7,280,[z],[z],[z]
2017-10,2017,10,7370,1257,2108,4005,7567,1321,2207,4039,5175,5555,12.7,20.9,3.3,5.4,12.2,293,964,293,1028,302,920,319,983,19,332,3,329,[z],[z],[z]
2017-11,2017,11,9011,1287,2118,5606,9408,1303,2289,5816,5520,6059,12.9,21.1,3.3,5.4,12.5,264,1023,265,1038,306,964,310,973,20,320,3,317,[z],[z],[z]
2017-12,2017,12,9196,1297,2203,5696,7750,941,1859,4950,5486,4687,13.1,21.4,3.3,5.4,12.7,272,1025,196,745,317,963,241,691,9,217,1,216,[z],[z],[z]
2018-01,2018,1,8694,1361,2175,5158,8742,1505,2028,5209,5822,4692,13.3,21.6,3.3,5.4,12.9,307,1054,384,1121,322,1027,364,1108,33,239,4,235,[z],[z],[z]
2018-02,2018,2,8511,1387,2157,4967,7166,1415,2144,3607,5818,5781,13.5,21.6,3.3,5.5,12.8,324,1063,311,1104,335,1041,333,1062,20,231,2,229,[z],[z],[z]
2018-03,2018,3,9431,1383,2218,5830,10372,1464,2372,6536,5829,6286,13.7,21.8,3.3,5.5,13,320,1063,329,1135,332,1020,360,1079,25,197,1,196,[z],[z],[z]
2018-04,2018,4,9557,1380,2312,5865,9828,1440,2306,6082,5594,5580,13.9,22.5,3.4,5.6,13.5,340,1040,337,1103,313,1049,328,1089,23,178,3,175,[z],[z],[z]
2018-05,2018,5,9494,1355,2339,5800,9753,1361,2495,5897,6389,6564,14.3,22.9,3.4,5.6,13.9,281,1074,297,1064,311,1022,317,1027,17,227,1,226,[z],[z],[z]
2018-06,2018,6,9034,1341,2265,5428,8824,1307,2221,5296,5664,5533,14.3,23.1,3.4,5.6,14,290,1051,287,1020,332,1008,313,977,17,255,5,250,[z],[z],[z]
2018-07,2018,7,9393,1457,2432,5504,10266,1496,2492,6278,5525,5852,14.5,23.2,3.4,5.7,14,358,1099,373,1123,348,1046,366,1112,18,275,2,273,[z],[z],[z]
2018-08,2018,8,9445,1419,2467,5559,9226,1410,2397,5419,5052,5305,14.4,23.2,3.5,5.8,14,311,1108,301,1109,342,1064,338,1047,25,283,3,280,[z],[z],[z]
2018-09,2018,9,7595,1403,2276,3916,7530,1303,2108,4119,5700,5504,14.5,22.9,3.5,5.8,13.6,276,1127,254,1049,320,1043,287,987,29,275,1,274,[z],[z],[z]
2018-10,2018,10,10668,1394,2276,6998,11498,1551,2525,7422,6609,7241,14.8,23.7,3.5,5.8,14.3,280,1114,296,1255,316,1052,342,1181,28,352,1,351,[z],[z],[z]
2018-11,2018,11,12679,1342,2425,8912,12961,1345,2550,9066,6531,7031,15,24.4,3.5,5.9,15,280,1062,278,1067,311,1006,311,997,37,321,0,321,[z],[z],[z]
2018-12,2018,12,10497,1422,2342,6733,8831,1046,2046,5739,6356,5520,15.2,24.7,3.6,5.9,15.2,294,1128,213,833,312,1075,236,787,23,268,2,266,[z],[z],[z]
2019-01,2019,1,9767,1367,2283,6117,9747,1479,2144,6124,6372,5073,15.3,24.9,3.6,6,15.3,284,1083,339,1140,299,1010,337,1092,50,275,4,271,[z],[z],[z]
2019-02,2019,2,10018,1380,2347,6291,8278,1431,2369,4478,6609,6651,15.5,25.1,3.6,6,15.5,235,1145,235,1196,295,1051,299,1083,49,238,2,236,[z],[z],[z]
2019-03,2019,3,10934,1446,2299,7189,12214,1559,2433,8222,6676,6839,15.6,25.5,3.6,6,15.9,278,1168,273,1286,298,1105,328,1186,45,286,2,284,[z],[z],[z]
2019-04,2019,4,9483,1429,2424,5630,9684,1492,2389,5803,7125,7473,16,25.4,3.6,6,15.8,291,1138,305,1187,326,1059,343,1104,45,196,4,192,[z],[z],[z]
2019-05,2019,5,10547,1441,2151,6955,10989,1442,2289,7258,6705,6752,16,25.7,3.6,6,16.1,288,1153,296,1146,315,1095,307,1083,52,262,4,258,[z],[z],[z]
2019-06,2019,6,10406,1418,2262,6726,9721,1301,2118,6302,6858,6621,16.2,25.9,3.6,6,16.3,290,1128,271,1030,317,1050,290,967,44,269,4,265,[z],[z],[z]
2019-07,2019,7,10891,1346,2209,7336,12253,1464,2395,8394,6973,7525,16.6,26.3,3.6,5.9,16.7,272,1074,299,1165,303,964,325,1089,50,378,4,374,[z],[z],[z]
2019-08,2019,8,9641,1419,2085,6137,8910,1348,1955,5607,6907,6959,16.9,26.2,3.6,5.8,16.8,256,1163,237,1111,312,1062,297,1012,39,268,6,262,[z],[z],[z]
2019-09,2019,9,11824,1383,2486,7955,12280,1366,2438,8476,6780,6833,17.2,27.2,3.6,5.9,17.7,266,1117,251,1115,287,1075,265,1077,24,298,3,295,[z],[z],[z]
2019-10,2019,10,9196,1290,2281,5625,10055,1405,2509,6141,7071,7824,17.3,26.9,3.6,5.9,17.4,231,1059,234,1171,264,981,286,1073,46,318,2,316,[z],[z],[z]
2019-11,2019,11,9848,1408,2301,6139,9606,1365,2352,5889,6762,6878,17.3,26.1,3.6,5.9,16.7,226,1182,229,1136,272,1116,261,1071,33,305,2,303,[z],[z],[z]
2019-12,2019,12,9588,1416,2340,5832,8405,1091,2076,5238,7226,6635,17.5,26,3.6,5.9,16.6,211,1205,159,932,254,1122,203,854,34,244,0,244,[z],[z],[z]
2020-01,2020,1,10570,1446,2369,6755,10500,1540,2209,6751,7664,5803,17.6,26.2,3.6,5.9,16.7,213,1233,243,1297,282,1122,301,1201,38,272,2,270,[z],[z],[z]
2020-02,2020,2,10122,1498,2305,6319,8591,1558,2392,4641,7848,7966,17.9,26.3,3.6,5.9,16.8,197,1301,210,1348,302,1167,312,1211,35,205,3,202,[z],[z],[z]
2020-03,2020,3,6654,1301,2097,3256,7832,1487,2314,4031,7735,8598,18.3,25.3,3.6,5.8,15.9,172,1129,174,1313,254,1025,298,1162,27,202,3,199,[z],[z],[z]
2020-04,2020,4,9943,824,1526,7593,10404,817,1497,8090,5537,5810,17.9,25.5,3.4,5.7,16.4,36,788,33,784,144,673,144,663,10,105,0,105,[z],[z],[z]
2020-05,2020,5,14201,824,1616,11761,13853,742,1544,11567,4155,3897,17.3,26.1,3.3,5.5,17.3,57,767,52,690,105,699,93,630,19,149,1,148,[z],[z],[z]
2020-06,2020,6,7858,868,1785,5205,8282,883,1779,5620,3886,4015,16.8,25.8,3.2,5.4,17.1,71,797,71,812,135,716,130,732,21,184,1,183,[z],[z],[z]
2020-07,2020,7,6696,913,1559,4224,7334,937,1626,4771,5021,5355,16.3,24.7,3.1,5.3,16.4,86,827,88,849,141,731,142,770,25,173,1,172,[z],[z],[z]
2020-08,2020,8,7111,869,1487,4755,6381,793,1334,4254,5792,5729,16,24.2,3,5.1,16.1,98,771,85,708,134,705,122,645,26,164,2,162,[z],[z],[z]
2020-09,2020,9,6938,1030,1490,4418,7471,1056,1530,4885,6461,6708,16,23.1,2.9,4.9,15.3,92,938,93,963,197,792,191,828,37,158,1,157,[z],[z],[z]
2020-10,2020,10,11321,1054,1507,8760,11957,1076,1575,9306,6736,6943,15.8,23.5,2.8,4.7,16,111,943,106,970,178,806,179,811,86,150,2,148,[z],[z],[z]
2020-11,2020,11,9651,980,1392,7279,9336,945,1430,6961,6625,6945,15.8,23.5,2.7,4.5,16.2,111,869,110,835,157,768,153,725,67,208,3,205,[z],[z],[z]
2020-12,2020,12,10500,1052,1338,8110,9625,824,1243,7558,6793,6483,15.8,23.7,2.7,4.4,16.7,103,949,81,743,205,770,169,594,61,170,3,167,[z],[z],[z]
2021-01,2021,1,9355,866,1375,7114,8331,840,1175,6316,6403,4372,15.5,23.3,2.5,4.1,16.6,92,774,98,742,131,613,130,608,102,209,1,208,[z],[z],[z]
2021-02,2021,2,8183,888,1355,5940,6839,920,1394,4525,6356,6483,15.2,22.9,2.4,3.9,16.5,101,787,107,813,134,675,140,692,88,140,2,138,[z],[z],[z]
2021-03,2021,3,8878,866,1420,6592,10954,1042,1594,8318,7170,8339,15.1,23.5,2.3,3.8,17.5,97,769,105,937,123,683,150,811,81,67,0,67,[z],[z],[z]
2021-04,2021,4,9340,832,1445,7063,9872,825,1429,7618,6540,6656,15.3,23.4,2.3,3.7,17.3,87,745,86,739,119,652,119,639,67,65,3,62,[z],[z],[z]
2021-05,2021,5,8621,785,1548,6288,8496,732,1529,6235,6610,6360,15.8,22.3,2.3,3.7,16.2,89,696,85,647,134,569,122,533,77,45,0,45,6105,6058,47
2021-06,2021,6,9349,736,1433,7180,9851,750,1416,7685,6932,7137,16.4,22.6,2.3,3.7,16.6,101,635,105,645,109,529,108,537,105,92,0,92,5639,5576,63
2021-07,2021,7,8961,639,1835,6487,9090,634,1867,6589,6709,6846,16.7,22.9,2.2,3.7,17,97,542,100,534,106,439,104,451,79,76,0,76,5544,5456,88
2021-08,2021,8,9796,644,1859,7293,9117,625,1719,6773,6899,7129,17,23.5,2.2,3.8,17.5,83,561,75,550,104,478,103,465,57,108,1,107,4848,4781,67
2021-09,2021,9,9390,626,2012,6752,9967,630,2150,7187,6318,6595,17,24,2.1,3.9,18,75,551,77,553,108,454,105,465,60,109,1,108,5094,5010,84
2021-10,2021,10,9628,628,1945,7055,9682,618,1937,7127,6616,6554,16.9,23.5,2,4,17.5,107,521,100,518,115,432,115,416,87,113,0,113,4836,4755,81
2021-11,2021,11,9250,629,1877,6744,9391,652,2054,6685,6976,7483,17,23.5,1.9,4.1,17.5,91,538,100,552,109,451,116,459,77,163,0,163,4863,4773,90
2021-12,2021,12,9292,584,2033,6675,8452,454,1872,6126,7026,6602,17,23.3,1.8,4.3,17.2,93,491,74,380,110,401,89,300,65,134,0,134,4197,4093,104
2022-01,2022,1,9631,586,2094,6951,8485,585,1873,6027,6844,4658,17.1,23.3,1.8,4.4,17.1,72,514,78,507,85,423,86,437,62,106,0,106,5287,5215,72
2022-02,2022,2,11459,574,2162,8723,9836,601,2245,6990,7394,7565,17.3,23.9,1.7,4.6,17.6,99,475,106,495,104,406,111,420,70,113,0,113,5804,5716,88
2022-03,2022,3,9461,561,2190,6710,11552,657,2513,8382,7261,8467,17.3,24,1.6,4.8,17.6,101,460,108,549,104,382,130,445,82,116,1,115,6272,6151,121
2022-04,2022,4,9601,580,2094,6927,9789,559,1923,7307,7961,7845,17.5,24,1.6,4.9,17.5,98,482,96,463,100,412,96,397,66,92,0,92,5388,5282,106
2022-05,2022,5,10060,591,2045,7424,10499,590,2033,7876,7300,7464,17.8,24.4,1.5,5,17.9,97,494,93,497,102,407,99,408,83,53,1,52,5750,5639,111
2022-06,2022,6,9937,491,1897,7549,10533,500,1912,8121,7390,7648,17.9,24.5,1.5,5.1,17.9,90,401,90,410,105,326,102,330,68,124,0,124,5772,5687,85
2022-07,2022,7,9504,563,1920,7021,9201,545,1836,6820,7699,7685,18,24.5,1.5,5.1,18,84,479,84,461,106,389,100,387,58,104,0,104,6112,5994,118
2022-08,2022,8,9541,560,1949,7032,9583,579,1932,7072,7444,7849,18.2,24.6,1.5,5.1,18,92,468,88,491,104,390,104,407,68,108,0,108,6058,5971,87
2022-09,2022,9,9396,542,1721,7133,10024,548,1812,7664,7360,7567,18.3,24.6,1.4,5,18.1,111,431,116,432,103,385,99,391,58,113,0,113,6177,6085,92
2022-10,2022,10,10358,545,1834,7979,10531,551,1894,8086,7081,7071,18.4,24.7,1.4,5,18.3,85,460,82,469,102,377,103,373,75,85,0,85,6342,6230,112
2022-11,2022,11,10300,543,2087,7670,10478,561,2269,7648,6900,7404,18.4,24.9,1.4,5.1,18.5,106,437,116,445,105,358,113,361,87,97,1,96,6796,6689,107
2022-12,2022,12,9503,546,2228,6729,8240,407,1979,5854,6263,5674,18.2,24.9,1.4,5.1,18.4,108,438,86,321,107,367,84,265,58,62,0,62,5029,4912,117
2023-01,2023,1,8520,599,1902,6019,7748,641,1741,5366,6390,4559,18.2,24.7,1.4,5,18.2,108,491,123,518,113,398,121,439,81,65,2,63,7584,7487,97
2023-02,2023,2,9201,578,2007,6616,8226,612,2083,5531,6122,6326,17.9,24.3,1.4,5,17.9,117,461,126,486,118,400,126,421,65,59,0,59,7312,7173,139
2023-03,2023,3,9609,581,3019,6009,11443,683,3383,7377,6273,7337,17.6,24.3,1.4,5.2,17.7,109,472,118,565,130,392,159,453,71,48,3,45,8282,8110,172
2023-04,2023,4,9324,592,2705,6027,9008,545,2384,6079,5961,5787,17.2,24.1,1.4,5.3,17.4,135,457,127,418,109,390,102,364,79,15,0,15,6613,6485,128
2023-05,2023,5,9196,612,2409,6175,9995,653,2505,6837,5814,6157,16.9,23.9,1.4,5.4,17.2,131,481,132,521,121,432,120,468,65,23,0,23,6683,6609,74
2023-06,2023,6,7867,639,2350,4878,8132,657,2320,5155,5388,5500,16.4,23.4,1.5,5.4,16.5,137,502,136,521,119,450,115,460,82,71,1,70,7935,7824,111
2023-07,2023,7,8478,644,2685,5149,8291,644,2667,4980,5172,5302,15.9,23.2,1.5,5.6,16.1,146,498,149,495,114,460,107,474,63,112,0,112,7794,7660,134
2023-08,2023,8,8546,671,2712,5163,8556,671,2714,5171,4880,5197,15.3,23,1.5,5.8,15.7,160,511,149,522,132,450,131,462,78,108,1,107,7607,7488,119
2023-09,2023,9,7189,697,2865,3627,7284,684,2913,3687,4895,4761,14.7,22.4,1.5,6,14.9,177,520,189,495,135,471,125,461,98,86,0,86,7690,7573,117
2023-10,2023,10,9421,675,3103,5643,9886,713,3245,5928,4893,5109,14.3,22.2,1.5,6.3,14.4,160,515,160,553,134,463,144,477,92,120,0,120,7637,7509,128
2023-11,2023,11,7970,687,2976,4307,8266,685,3290,4291,4919,5295,13.9,21.7,1.6,6.5,13.7,156,531,163,522,129,458,136,445,104,86,0,86,7484,7351,133
2023-12,2023,12,8113,724,2983,4406,6598,510,2472,3616,5080,4457,13.6,21.4,1.6,6.6,13.2,161,563,124,386,139,494,107,332,71,90,0,90,5769,5657,112
2024-01,2024,1,8616,703,2903,5010,8104,785,2793,4526,5183,3768,13.4,21.4,1.6,6.8,13,149,554,179,606,113,481,124,550,111,88,0,88,8357,8232,125
2024-02,2024,2,10562,670,2779,7113,10144,721,3007,6416,5365,5831,13.3,21.8,1.6,6.9,13.2,119,551,127,594,119,467,131,500,90,88,0,88,8073,7964,109
2024-03,2024,3,9086,691,2746,5649,9074,682,2592,5800,4932,5410,12.9,21.3,1.6,6.8,12.9,154,537,153,529,112,490,122,477,83,69,1,68,7710,7610,100
2024-04,2024,4,9702,666,3777,5259,10806,725,3808,6273,5411,5529,12.8,21.6,1.7,7.1,12.9,141,525,146,579,125,452,132,500,93,44,1,43,7650,7548,102
2024-05,2024,5,9637,617,4022,4998,10153,622,4006,5525,5483,5725,12.7,21.6,1.7,7.4,12.6,134,483,124,498,113,421,107,426,89,140,2,138,7652,7547,105
2024-06,2024,6,10421,662,4174,5585,9724,616,3869,5239,5360,5094,12.6,21.9,1.7,7.7,12.6,182,480,167,449,147,397,135,370,111,108,0,108,6973,6876,97
2024-07,2024,7,10539,645,4140,5754,11433,708,4449,6276,5301,5833,12.7,22.6,1.7,8,12.9,162,483,179,529,116,417,117,468,123,137,0,137,7369,7244,125
2024-08,2024,8,9750,603,4007,5140,9368,559,3871,4938,5282,5203,12.7,22.7,1.6,8.3,12.8,162,441,143,416,101,402,91,379,89,114,0,114,7256,7138,118
2024-09,2024,9,10325,566,3877,5882,10568,547,3955,6066,5498,5463,12.8,23.4,1.6,8.5,13.3,162,404,167,380,102,373,96,354,97,122,3,119,6855,6761,94
2024-10,2024,10,9267,607,3692,4968,10111,647,4061,5403,5427,5805,13,23.4,1.6,8.6,13.2,173,434,178,469,96,390,106,405,136,140,1,139,7771,7664,107
2024-11,2024,11,10010,611,3650,5749,9842,578,3794,5470,5569,5536,13,23.7,1.6,8.7,13.4,163,448,166,412,102,397,103,365,110,104,0,104,7705,7585,120
2024-12,2024,12,10044,580,3482,5982,8632,432,3044,5156,5765,5379,13.2,24.1,1.6,8.8,13.7,140,440,112,320,101,374,83,268,81,95,0,95,5649,5563,86
2025-01,2025,1,9595,617,3730,5248,8873,661,3525,4687,5647,4075,13.2,24.2,1.5,9,13.7,184,433,210,451,118,375,126,403,132,101,0,101,8240,8150,90
2025-02,2025,2,9994,627,3738,5629,9403,647,3831,4925,5620,5798,13.2,24,1.5,9.1,13.4,175,452,178,469,97,393,101,407,139,93,1,92,7889,7775,114
2025-03,2025,3,9389,637,3601,5151,10033,686,3712,5635,5653,6152,13.3,24.2,1.5,9.3,13.3,180,457,185,501,102,404,118,439,129,79,0,79,8033,7932,101
2025-04,2025,4,10191,628,3897,5666,10619,632,3677,6310,5457,5734,13.4,24.1,1.5,9.3,13.3,171,457,173,459,93,408,94,418,120,54,2,52,7273,7170,103
2025-05,2025,5,10216,659,3870,5687,10285,636,3721,5928,5657,5686,13.3,24.1,1.5,9.2,13.4,174,485,158,478,90,449,82,447,107,110,0,110,7804,7683,121
2025-06,2025,6,10398,617,4119,5662,10202,616,4045,5541,5927,5894,13.5,24.2,1.5,9.2,13.4,131,486,122,494,91,433,87,436,93,104,0,104,7637,7535,102
2025-07,2025,7,10616,618,3992,6006,11617,666,4317,6634,6197,6935,13.7,24.2,1.5,9.2,13.5,163,455,176,490,88,403,90,451,125,116,0,116,8399,8285,114
2025-08,2025,8,11326,630,4190,6506,10379,568,3873,5938,6345,6068,13.8,24.3,1.5,9.2,13.7,146,484,125,443,86,413,76,380,112,99,1,98,7395,7290,105
2025-09,2025,9,11048,657,3950,6441,11964,684,4240,7040,5891,6033,13.9,24.6,1.5,9.2,13.8,146,511,163,521,110,409,109,426,149,141,0,141,7684,7589,95
2025-10,2025,10,10612,648,3835,6129,11457,696,4204,6557,6321,6652,14.1,24.8,1.5,9.3,14,148,500,152,544,[x],[x],[x],[x],[x],120,1,119,7701,7571,130
2025-11,2025,11,9343,489,3792,5062,8863,440,3838,4585,[x],[x],[x],24.6,1.5,9.2,13.9,143,346,138,302,[x],[x],[x],[x],[x],38,1,37,7151,7009,142
